slug,decision_pattern,description,infrastructure,monitoring
deep-storage-tunnels,Deep storage tunnels,Store excess wastewater underground,Tunnels CSO systems,Flow sensors
continuous-monitoring,Continuous monitoring networks,Track system events continuously,Sensors telemetry systems,Real-time monitoring
hydrological-monitoring,Hydrological monitoring networks,Measure water levels and flows,River gauges sensors,Level monitoring
predictive-modelling,Predictive modelling systems,Forecast future system states,Models simulation systems,Forecast data
movable-flood-barriers,Movable flood barriers,Physically block floodwater,Barrier gates,Tide sensors
integrated-flood,Integrated flood systems,Combine infrastructure and monitoring,Tunnels reservoirs sensors,Integrated data systems
integrated-water,Integrated water systems,Coordinate multiple supply sources,Reservoirs desalination reuse,System monitoring
reservoir-optimisation,Reservoir optimisation,Manage stored water effectively,Dams reservoirs,Level monitoring
demand-reduction,Demand reduction programmes,Reduce water usage behaviourally,Policy measures,Consumption monitoring
national-strategies,National water strategies,Plan supply long-term,Multi-system infrastructure,System-level monitoring
water-reuse,Water reuse systems,Treat wastewater for reuse,Treatment plants,Quality sensors
desalination,Desalination systems,Produce water from seawater,Desalination plants,Salinity monitoring
basin-governance,Basin governance systems,Allocate water at basin scale,Regulatory frameworks,Usage monitoring
smart-monitoring,Smart monitoring networks,Use sensors across systems,IoT sensor networks,Real-time telemetry
water-quality-monitoring,Water quality monitoring networks,Monitor environmental conditions,Sensors sampling systems,Quality indicators
community-water,Community water systems,Local water management,Gravity-fed systems,Manual monitoring
inter-basin-transfer,Inter-basin transfer systems,Move water between regions,Canals pipelines,Flow monitoring
